Question or Query,Total - Both Male & Female,Male,Female,Dublin,Leinster,Munster,Connacht,Ulster (ROI Only),18-24,25-34,35-44,45-54,55-64
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Old Fashioned values   Very impactful ,14%,16%,13%,13%,14%,16%,13%,15%,12%,5%,20%,16%,18%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Old Fashioned values   Fairly Impactful,318,148,170,78,92,94,41,13,33,67,84,70,64
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Old Fashioned values   Fairly Impactful,32%,30%,33%,28%,33%,34%,36%,25%,26%,30%,32%,33%,36%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Old Fashioned values   Neither,327,165,162,102,86,87,28,24,38,82,81,69,57
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Old Fashioned values   Neither,33%,34%,32%,36%,31%,31%,25%,45%,29%,36%,31%,33%,32%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Old Fashioned values   Not very impactful,131,60,71,41,37,32,17,4,33,39,23,21,15
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Old Fashioned values   Not very impactful,13%,12%,14%,15%,13%,11%,15%,8%,26%,17%,9%,10%,9%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Old Fashioned values   Not at all impactful,82,39,43,23,22,21,12,4,10,26,20,17,9
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Old Fashioned values   Not at all impactful,8%,8%,8%,8%,8%,8%,11%,8%,8%,12%,8%,8%,5%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Price cuts   Very impactful ,545,243,302,137,158,150,68,32,70,127,148,114,86
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Price cuts   Very impactful ,54%,50%,59%,49%,57%,54%,60%,60%,54%,56%,57%,54%,49%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Price cuts   Fairly Impactful,355,194,161,109,91,102,34,19,47,75,85,78,70
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Price cuts   Fairly Impactful,35%,40%,31%,39%,33%,37%,30%,36%,36%,33%,33%,37%,40%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Price cuts   Neither,76,39,37,25,21,22,6,2,9,16,23,14,14
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Price cuts   Neither,8%,8%,7%,9%,8%,8%,5%,4%,7%,7%,9%,7%,8%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Price cuts   Not very impactful,20,12,8,9,5,3,3,0,3,6,4,5,2
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Price cuts   Not very impactful,2%,2%,2%,3%,2%,1%,3%,0%,2%,3%,2%,2%,1%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Price cuts   Not at all impactful,6,2,4,1,1,2,2,0,0,1,1,0,4
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Price cuts   Not at all impactful,1%,0%,1%,0%,0%,1%,2%,0%,0%,0%,0%,0%,2%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Premium  Quality credentials   Very impactful ,204,109,95,57,59,54,25,9,30,40,67,32,35
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Premium  Quality credentials   Very impactful ,20%,22%,19%,20%,21%,19%,22%,17%,23%,18%,26%,15%,20%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Premium  Quality credentials   Fairly Impactful,451,214,237,122,129,123,52,25,51,106,109,96,89
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Premium  Quality credentials   Fairly Impactful,45%,44%,46%,43%,47%,44%,46%,47%,40%,47%,42%,45%,51%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Premium  Quality credentials   Neither,233,107,126,66,61,62,27,17,32,55,54,57,35
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Premium  Quality credentials   Neither,23%,22%,25%,23%,22%,22%,24%,32%,25%,24%,21%,27%,20%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Premium  Quality credentials   Not very impactful,81,42,39,30,19,27,4,1,11,19,22,21,8
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Premium  Quality credentials   Not very impactful,8%,9%,8%,11%,7%,10%,4%,2%,9%,8%,8%,10%,5%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Premium  Quality credentials   Not at all impactful,33,18,15,6,8,13,5,1,5,5,9,5,9
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Premium  Quality credentials   Not at all impactful,3%,4%,3%,2%,3%,5%,4%,2%,4%,2%,3%,2%,5%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Sustainability   Very impactful ,160,85,75,46,42,48,16,8,22,32,46,32,28
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Sustainability   Very impactful ,16%,17%,15%,16%,15%,17%,14%,15%,17%,14%,18%,15%,16%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Sustainability   Fairly Impactful,381,180,201,99,103,105,48,26,46,87,94,85,69
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Sustainability   Fairly Impactful,38%,37%,39%,35%,37%,38%,42%,49%,36%,39%,36%,40%,39%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Sustainability   Neither,287,123,164,92,79,78,24,14,38,72,72,57,48
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Sustainability   Neither,29%,25%,32%,33%,29%,28%,21%,26%,29%,32%,28%,27%,27%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Sustainability   Not very impactful,108,63,45,27,36,31,11,3,16,21,28,21,22
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Sustainability   Not very impactful,11%,13%,9%,10%,13%,11%,10%,6%,12%,9%,11%,10%,13%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Sustainability   Not at all impactful,66,39,27,17,16,17,14,2,7,13,21,16,9
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Sustainability   Not at all impactful,7%,8%,5%,6%,6%,6%,12%,4%,5%,6%,8%,8%,5%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Tells me a story about the brand  product   Very impactful ,111,65,46,24,31,39,11,6,23,17,32,23,16
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Tells me a story about the brand  product   Very impactful ,11%,13%,9%,9%,11%,14%,10%,11%,18%,8%,12%,11%,9%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Tells me a story about the brand  product   Fairly Impactful,340,171,169,94,89,90,48,19,33,79,88,73,67
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Tells me a story about the brand  product   Fairly Impactful,34%,35%,33%,33%,32%,32%,42%,36%,26%,35%,34%,35%,38%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Tells me a story about the brand  product   Neither,315,138,177,101,85,86,26,17,37,70,88,54,66
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Tells me a story about the brand  product   Neither,31%,28%,35%,36%,31%,31%,23%,32%,29%,31%,34%,26%,38%
