Segments,Total - Both Male & Female,Male,Female,Dublin,Leinster,Munster,Connacht,Ulster (ROI Only),18-24,25-34,35-44,45-54,55-64
Segments : Total,1002,490,512,281,276,279,113,53,129,225,261,211,176
Segments : Percentage of Total,100%,49%,51%,28%,28%,28%,11%,5%,13%,22%,26%,21%,18%
Segments : Females,184,0,184,52,52,52,21,7,68,116,0,0,0
Segments : Percentage of Females,18%,0%,36%,19%,19%,19%,19%,13%,53%,52%,0%,0%,0%
Segments : Females Dublin,144,0,144,144,0,0,0,0,19,33,37,30,25
Segments : Percentage of Females Dublin,14%,0%,28%,51%,0%,0%,0%,0%,15%,15%,14%,14%,14%
Segments : No Segments,726,490,236,137,224,227,92,46,61,109,224,181,151
Segments : Percentage of No Segments,72%,100%,46%,49%,81%,81%,81%,87%,47%,48%,86%,86%,86%
